book_id,author,auth_book_ID
203,Sian Reynold,273
204,John Gillingham,274
205,Mary G. Houston,275
206,Ginger Myrick,276
207,Anna Escardó,277
207,Julius Wiedemann,278
208,Frank Trentmann,279
209,David Nicolle,280
209,Angus McBride,281
210,Helen Craig McCullough,282
211,David Nicolle,283
212,Stephen Berg,284
213,Heinrich Wittenwiler,285
213,Anonymous,286
213,George Fenwick Jones,287
214,John Laband,288
215,David Nicolle,289
215,Gerry Embleton,290
216,Michael Baxandall,291
217,Gerry Embleton,292
217,John Howe,293
218,Kabir Kabir,294
218,Kabir,295
219,André Wink,296
220,Frank J. Swetz,297
221,Angus Konstam,298
221,Gerry Embleton,299
222,Lorne Campbell,300
223,Christina Hallowell Garrett,301
224,Irving Stone,302
225,Elizabeth Benns,303
225,Gina Barrett,304
226,Pauquet Freres,305
227,Christine Jordan,306
228,Barbara Borngässer,307
228,Rolf Toman,308
229,Fillipo Vadi,309
229,Luca Porzio,310
229,Gregory D. Mele,311
230,David Lee Schoenbrun,312
231,Rose-Marie Hagen,313
232,Neil Rosenstein,314
233,Marìa Bullòn-Fernandez,315
234,Matteo Guarnaccia,316
235,Jessica Finley,317
236,Karen Bauer,318
237,John H. Parry,319
238,M. Ishaq Khan,320
239,Lisa Golombek,321
239,Maria E. Subtelny,322
240,Kevin DeYoung,323
241,Immanuel Wallerstein,324
242,Laura Morelli,325
243,Rozsa Gaston,326
243,Géza Von Habsburg,327
243,Susan Abernethy,328
244,Thomas George Percival Spear,329
245,C.L.R. Peterson,330
246,Laura Morelli,331
247,Kathryn Senior,332
247,David Salariya,333
247,David Antram,334
248,Hugh R. Trevor-Roper,335
249,Robert Muchembled,336
249,David Fernbach,337
250,D.J. Enright,338
251,Martin Luther,339
251,Archie Parrish,340
252,Adolphus William Ward,341
252,Martin Andrew Sharp Hume,342
253,Steven E. Ozment,343
254,Syed Muhammad Naquib al-Attas,344
255,Douglas F. Kelly,345
256,David B. Ruderman,346
257,K.C. Kanda,347
258,Adolphus William Ward,348
258,Martin Andrew Sharp Hume,349
259,Gerolamo Cardano,350
259,Samuel S. Wilks,351
259,Sydney Henry Gould,352
260,Jean-Pierre Isbouts,353
260,Christopher Brown,354
261,John F. Guilmartin Jr.,355
262,Eric Ives,356
263,Isaac Donoso,357
263,Ma. Luisa García,358
263,Carlos Quirino,359
264,Kathy Lynn Emerson,360
265,Drea Leed,361
266,Garfield Gini-Newman,362
267,Adolphus William Ward,363
