name,details_link,authors,avg_rating,count_ratings,editions_count,genre,reviews,price,price_type,pages_count,year_first_published,book_id
The Wars of Religion - The struggle for power in 16th century Europe - Book I of III,https://www.goodreads.com/book/show/24856713-the-wars-of-religion---the-struggle-for-power-in-16th-century-europe---b?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=13,"['Adolphus William Ward', 'Martin Andrew Sharp Hume']",3.71,17,1,16th-century,,,,,,252
Magdalena and Balthasar : An Intimate Portrait of Life in 16th Century Europe Revealed in the Letters of a Nuremberg Husband and Wife,https://www.goodreads.com/book/show/1422464.Magdalena_and_Balthasar_?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=14,['Steven E. Ozment'],3.89,97,3,16th-century,,,,,,253
The Oldest Known Malay Manuscript: A 16th Century Malay Translation of the 'Aqa'id of al-Nasafi,https://www.goodreads.com/book/show/2706677-the-oldest-known-malay-manuscript?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=15,['Syed Muhammad Naquib al-Attas'],4.43,35,1,16th-century,,,,,,254
The Emergence of Liberty in the Modern World: The Influence of Calvin on Five Governments from the 16th Through 18th Centuries,https://www.goodreads.com/book/show/1641078.The_Emergence_of_Liberty_in_the_Modern_World?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=16,['Douglas F. Kelly'],3.7,46,2,16th-century,,,,,,255
Jewish Intellectual History: 16th to 20th Century,https://www.goodreads.com/book/show/2891725-jewish-intellectual-history?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=17,['David B. Ruderman'],4.05,80,4,16th-century,,,,,,256
"Urdu Ghazals: An Anthology, From 16th to 20th Century",https://www.goodreads.com/book/show/392209.Urdu_Ghazals?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=18,['K.C. Kanda'],4.07,14,5,16th-century,,,,,,257
The Wars of Religion - The struggle for power in 16th century Europe - Book II of III,https://www.goodreads.com/book/show/24856712-the-wars-of-religion---the-struggle-for-power-in-16th-century-europe---b?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=19,"['Adolphus William Ward', 'Martin Andrew Sharp Hume']",3.44,18,1,16th-century,,,,,,258
The Book on Games of Chance: The 16th-Century Treatise on Probability,https://www.goodreads.com/book/show/25759741-the-book-on-games-of-chance?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=20,"['Gerolamo Cardano', 'Samuel S. Wilks', 'Sydney Henry Gould']",3.58,24,3,16th-century,,,,,,259
The Da Vinci Legacy: How a 16th Century Solitary Genius Became a Global Pop Icon,https://www.goodreads.com/book/show/44014682-the-da-vinci-legacy?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=21,"['Jean-Pierre Isbouts', 'Christopher     Brown']",4.21,95,6,16th-century,,,,,,260
Gunpowder and Galleys : Changing Technology and Mediterranean Warfare at Sea in the 16th Century,https://www.goodreads.com/book/show/1724209.Gunpowder_and_Galleys_?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=22,['John F. Guilmartin Jr.'],4.38,55,10,16th-century,,,,,,261
The Reformation Experience: Living Through The Turbulent 16Th Century,https://www.goodreads.com/book/show/13198833-the-reformation-experience?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=23,['Eric Ives'],3.9,30,3,16th-century,,,,,,262
Boxer Codex: A Modern Spanish Transcription and English Translation of 16th-Century Exploration Accounts of East and Southeast Asia and the Pacific,https://www.goodreads.com/book/show/42529503-boxer-codex?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=24,"['Isaac Donoso', 'Ma. Luisa García', 'Carlos Quirino']",4.08,12,1,16th-century,,,,,,263
"Murders and Other Confusions: The Chronicles of Susanna, Lady Appleton, 16th-Century Gentlewoman, Herbalist, and Sleuth",https://www.goodreads.com/book/show/227991.Murders_and_Other_Confusions?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=25,['Kathy Lynn Emerson'],3.87,46,3,16th-century,,,,,,264
The Well Dress'd Peasant: 16th Century Flemish Workingwomen's Dress,https://www.goodreads.com/book/show/13451467-the-well-dress-d-peasant?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=26,['Drea Leed'],4.18,11,1,16th-century,,,,,,265
Echoes from the Past : World History to the 16th Century,https://www.goodreads.com/book/show/3121252-echoes-from-the-past?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=27,['Garfield Gini-Newman'],3.0,12,1,16th-century,,,,,,266
The Wars of Religion - The struggle for power in 16th century Europe - Book III of III,https://www.goodreads.com/book/show/24856701-the-wars-of-religion---the-struggle-for-power-in-16th-century-europe---b?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=28,"['Adolphus William Ward', 'Martin Andrew Sharp Hume']",3.0,14,1,16th-century,,,,,,267
Deadly Apparition: A modern nuclear submarine crew meets the 16th century Spanish Armada in this alternate reality thriller,https://www.goodreads.com/book/show/23296501-deadly-apparition?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=29,['G. Ernest Smith'],4.07,70,4,16th-century,,,,,,268
The Complete Mystical Records of Dr. John Dee: Transcribed from the 16th-Century Manuscripts Documenting Dee's Conversations with Angels,https://www.goodreads.com/book/show/34051794-the-complete-mystical-records-of-dr-john-dee?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=30,['Kevin Klein'],4.45,11,2,16th-century,,,,,,269
Secret Symbols of the Rosicrucians of the 16th and 17th Centuries,https://www.goodreads.com/book/show/2197784.Secret_Symbols_of_the_Rosicrucians_of_the_16th_and_17th_Centuries?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=32,['AMORC'],4.53,19,1,16th-century,,,,,,271
A History of Sufism in India: 16th Century to Modern Times 2,https://www.goodreads.com/book/show/762256.A_History_of_Sufism_in_India?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=33,['Saiyid Athar Abbas Rizvi'],5.0,5,2,16th-century,,,,,,272
"Naval Warfare Under Oars, 4th to 16th Centuries; A Study of Strategy, Tactics and Ship Design.",https://www.goodreads.com/book/show/1494873.Naval_Warfare_Under_Oars_4th_to_16th_Centuries_A_Study_of_Strategy_Tactics_and_Ship_Design_?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=34,['William Ledyard Rodgers'],3.5,12,5,16th-century,,,,,,273
The Treacherous World of the 16th Century & How the Pilgrims Escaped It: The Prequel to America's Freedom,https://www.goodreads.com/book/show/37586011-the-treacherous-world-of-the-16th-century-how-the-pilgrims-escaped-it?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=35,['William J Federer'],3.7,10,1,16th-century,,,,,,274
"Agents of Empire: Knights, Corsairs, Jesuits and Spies in the 16th-Century Mediterranean World",https://www.goodreads.com/book/show/27833773-agents-of-empire?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=36,['Noel Malcolm'],4.09,350,17,16th-century,,,,,,275
Spanish Poetry: A Dual-Language Anthology 16th-20th Centuries,https://www.goodreads.com/book/show/982711.Spanish_Poetry?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=37,['Ángel Flores'],4.11,18,3,16th-century,,,,,,276
Armies of the Volga Bulgars & Khanate of Kazan: 9th–16th centuries,https://www.goodreads.com/book/show/17412791-armies-of-the-volga-bulgars-khanate-of-kazan?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=38,['Viacheslav Shpakovsky'],3.89,28,10,16th-century,,,,,,277
16th Century Paintings,https://www.goodreads.com/book/show/326065.16th_Century_Paintings?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=39,"['Rose-Marie Hagen', 'Rainer Hagen', 'Iain Galbraith']",4.0,19,3,16th-century,,,,,,278
The Trial of the 16th Century: Calvin & Servetus,https://www.goodreads.com/book/show/56823341-the-trial-of-the-16th-century?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=40,['Jonathan Moorhead'],4.47,30,2,16th-century,,,,,,279
Historical Fashion in Detail: The 17th and 18th Centuries,https://www.goodreads.com/book/show/658490.Historical_Fashion_in_Detail?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=1,"['Avril Hart', 'Susan North']",4.36,733,8,17th-century,,,,,,280
"The Apocalypse of Settler Colonialism: The Roots of Slavery, White Supremacy, and Capitalism in 17th Century North America and the Caribbean",https://www.goodreads.com/book/show/34793746-the-apocalypse-of-settler-colonialism?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=2,['Gerald Horne'],4.32,158,6,17th-century,,,,,,281
Five Women Who Loved Love: Amorous Tales from 17th-century Japan,https://www.goodreads.com/book/show/292336.Five_Women_Who_Loved_Love?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=3,"['Saikaku Ihara', 'William Theodore de Bary']",3.53,790,47,17th-century,,,,,,282
"The Firefly Witch (Bold Women of the 17th Century, #1)",https://www.goodreads.com/book/show/39945329-the-firefly-witch?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=4,['Amanda  Hughes'],4.04,419,2,17th-century,,,,,,283
"Pirates of Barbary: Corsairs, Conquests and Captivity in the 17th-Century Mediterranean",https://www.goodreads.com/book/show/8080950-pirates-of-barbary?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=5,['Adrian Tinniswood'],3.64,560,29,17th-century,,,,,,284
Cotswolds Memoir: Discovering a Beautiful Region of Britain on a Quest to Buy a 17th Century Cottage (Cotswolds Memoirs Series Book 1),https://www.goodreads.com/book/show/18918179-cotswolds-memoir?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=6,"['Diz White', 'Randall Montgomery']",3.81,414,6,17th-century,,,,,,285
"Painting with Fire (Bold Women of the 17th Century, #3)",https://www.goodreads.com/book/show/62308909-painting-with-fire?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=7,['Amanda  Hughes'],4.37,345,2,17th-century,,,,,,286
For Maids Who Brew & Bake: Rare & Excellent Recipes from 17th Century Newfoundland,https://www.goodreads.com/book/show/11331759-for-maids-who-brew-bake?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=8,['Sheilah Roberts'],4.5,12,2,17th-century,,,,,,287
The Road to Newgate: A 17th Century London Mystery,https://www.goodreads.com/book/show/40389353-the-road-to-newgate?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=9,['Kate Braithwaite'],4.13,221,3,17th-century,,,,,,288
