id,genre,genre_link
167,black-literature,https://www.goodreads.com/search?q=black-literature
168,boarding-school,https://www.goodreads.com/search?q=boarding-school
169,boating,https://www.goodreads.com/search?q=boating
170,bolivia,https://www.goodreads.com/search?q=bolivia
171,bolsheviks,https://www.goodreads.com/search?q=bolsheviks
172,bombers,https://www.goodreads.com/search?q=bombers
173,bookkeeping,https://www.goodreads.com/search?q=bookkeeping
174,books-about-books,https://www.goodreads.com/search?q=books-about-books
175,booze,https://www.goodreads.com/search?q=booze
176,botswana,https://www.goodreads.com/search?q=botswana
177,boys-love,https://www.goodreads.com/search?q=boys-love
178,brain,https://www.goodreads.com/search?q=brain
179,brazil,https://www.goodreads.com/search?q=brazil
180,brazzaville,https://www.goodreads.com/search?q=brazzaville
181,brewing,https://www.goodreads.com/search?q=brewing
182,british-literature,https://www.goodreads.com/search?q=british-literature
183,buddhism,https://www.goodreads.com/search?q=buddhism
184,buffy-the-vampire-slayer,https://www.goodreads.com/search?q=buffy-the-vampire-slayer
185,bulgaria,https://www.goodreads.com/search?q=bulgaria
186,bulgarian-literature,https://www.goodreads.com/search?q=bulgarian-literature
187,burkina-faso,https://www.goodreads.com/search?q=burkina-faso
188,burundi,https://www.goodreads.com/search?q=burundi
189,buses,https://www.goodreads.com/search?q=buses
190,business,https://www.goodreads.com/search?q=business
191,business-ethics,https://www.goodreads.com/search?q=business-ethics
192,butch-femme,https://www.goodreads.com/search?q=butch-femme
193,cabo-verde,https://www.goodreads.com/search?q=cabo-verde
194,cairo,https://www.goodreads.com/search?q=cairo
195,calculation,https://www.goodreads.com/search?q=calculation
196,calculus,https://www.goodreads.com/search?q=calculus
197,cameroon,https://www.goodreads.com/search?q=cameroon
198,campus,https://www.goodreads.com/search?q=campus
199,canada,https://www.goodreads.com/search?q=canada
200,canadian-literature,https://www.goodreads.com/search?q=canadian-literature
201,canon,https://www.goodreads.com/search?q=canon
202,canterbury-tales,https://www.goodreads.com/search?q=canterbury-tales
203,cape-town,https://www.goodreads.com/search?q=cape-town
204,carolinas-campaign,https://www.goodreads.com/search?q=carolinas-campaign
205,carolingian,https://www.goodreads.com/search?q=carolingian
206,cars,https://www.goodreads.com/search?q=cars
207,cartography,https://www.goodreads.com/search?q=cartography
208,cartoon,https://www.goodreads.com/search?q=cartoon
209,castile,https://www.goodreads.com/search?q=castile
210,category-romance,https://www.goodreads.com/search?q=category-romance
211,catholic,https://www.goodreads.com/search?q=catholic
212,cats,https://www.goodreads.com/search?q=cats
213,central-africa,https://www.goodreads.com/search?q=central-africa
214,central-african-republic,https://www.goodreads.com/search?q=central-african-republic
215,chad,https://www.goodreads.com/search?q=chad
216,challenged-books,https://www.goodreads.com/search?q=challenged-books
217,chancellorsville-campaign,https://www.goodreads.com/search?q=chancellorsville-campaign
218,chapter-books,https://www.goodreads.com/search?q=chapter-books
219,chemistry,https://www.goodreads.com/search?q=chemistry
220,chess,https://www.goodreads.com/search?q=chess
221,chick-lit,https://www.goodreads.com/search?q=chick-lit
222,childrens,https://www.goodreads.com/search?q=childrens
223,childrens-classics,https://www.goodreads.com/search?q=childrens-classics
224,china,https://www.goodreads.com/search?q=china
225,chinese-literature,https://www.goodreads.com/search?q=chinese-literature
226,chivalry,https://www.goodreads.com/search?q=chivalry
227,choose-your-own-adventure,https://www.goodreads.com/search?q=choose-your-own-adventure
228,christian,https://www.goodreads.com/search?q=christian
229,christian-contemporary-fiction,https://www.goodreads.com/search?q=christian-contemporary-fiction
230,christian-fantasy,https://www.goodreads.com/search?q=christian-fantasy
231,christian-fantasy-dystopian,https://www.goodreads.com/search?q=christian-fantasy-dystopian
232,christian-fiction,https://www.goodreads.com/search?q=christian-fiction
233,christian-fiction-amish,https://www.goodreads.com/search?q=christian-fiction-amish
234,christian-historical-fiction,https://www.goodreads.com/search?q=christian-historical-fiction
235,christian-living,https://www.goodreads.com/search?q=christian-living
236,christian-non-fiction,https://www.goodreads.com/search?q=christian-non-fiction
237,christian-romance,https://www.goodreads.com/search?q=christian-romance
238,christian-romance-historical,https://www.goodreads.com/search?q=christian-romance-historical
239,christianity,https://www.goodreads.com/search?q=christianity
240,christmas,https://www.goodreads.com/search?q=christmas
241,chupacabra,https://www.goodreads.com/search?q=chupacabra
242,church,https://www.goodreads.com/search?q=church
243,church-history,https://www.goodreads.com/search?q=church-history
244,church-ministry,https://www.goodreads.com/search?q=church-ministry
245,cinderella,https://www.goodreads.com/search?q=cinderella
246,cisgender,https://www.goodreads.com/search?q=cisgender
247,cities,https://www.goodreads.com/search?q=cities
248,civil-engineering,https://www.goodreads.com/search?q=civil-engineering
249,civil-war,https://www.goodreads.com/search?q=civil-war
250,civil-war-confederacy,https://www.goodreads.com/search?q=civil-war-confederacy
251,civil-war-eastern-theater,https://www.goodreads.com/search?q=civil-war-eastern-theater
252,civil-war-history,https://www.goodreads.com/search?q=civil-war-history
253,civil-war-navy,https://www.goodreads.com/search?q=civil-war-navy
254,civil-war-western-theater,https://www.goodreads.com/search?q=civil-war-western-theater
255,class,https://www.goodreads.com/search?q=class
256,class-issues,https://www.goodreads.com/search?q=class-issues
257,classic-literature,https://www.goodreads.com/search?q=classic-literature
258,classical-music,https://www.goodreads.com/search?q=classical-music
259,classical-studies,https://www.goodreads.com/search?q=classical-studies
260,classics,https://www.goodreads.com/search?q=classics
261,clean-romance,https://www.goodreads.com/search?q=clean-romance
262,climate-change,https://www.goodreads.com/search?q=climate-change
263,climate-change-denial,https://www.goodreads.com/search?q=climate-change-denial
264,climate-change-fiction,https://www.goodreads.com/search?q=climate-change-fiction
265,climbing,https://www.goodreads.com/search?q=climbing
266,cocktails,https://www.goodreads.com/search?q=cocktails
267,coding,https://www.goodreads.com/search?q=coding
268,coin-collecting,https://www.goodreads.com/search?q=coin-collecting
269,collections,https://www.goodreads.com/search?q=collections
270,college,https://www.goodreads.com/search?q=college
271,colouring-books,https://www.goodreads.com/search?q=colouring-books
272,comedian,https://www.goodreads.com/search?q=comedian
273,comedy,https://www.goodreads.com/search?q=comedy
274,comic-book,https://www.goodreads.com/search?q=comic-book
275,comic-fantasy,https://www.goodreads.com/search?q=comic-fantasy
276,comic-science-fiction,https://www.goodreads.com/search?q=comic-science-fiction
277,comic-strips,https://www.goodreads.com/search?q=comic-strips
278,comics,https://www.goodreads.com/search?q=comics
279,comics-manga,https://www.goodreads.com/search?q=comics-manga
280,coming-of-age,https://www.goodreads.com/search?q=coming-of-age
281,comix,https://www.goodreads.com/search?q=comix
282,communication,https://www.goodreads.com/search?q=communication
283,comoros,https://www.goodreads.com/search?q=comoros
284,complementary-medicine,https://www.goodreads.com/search?q=complementary-medicine
285,computation,https://www.goodreads.com/search?q=computation
286,computer-reference,https://www.goodreads.com/search?q=computer-reference
287,computer-science,https://www.goodreads.com/search?q=computer-science
288,computers,https://www.goodreads.com/search?q=computers
289,conflict-of-interest,https://www.goodreads.com/search?q=conflict-of-interest
290,conservation,https://www.goodreads.com/search?q=conservation
291,conspiracy-theories,https://www.goodreads.com/search?q=conspiracy-theories
292,construction,https://www.goodreads.com/search?q=construction
293,consumer-economics,https://www.goodreads.com/search?q=consumer-economics
294,contemporary,https://www.goodreads.com/search?q=contemporary
295,contemporary-romance,https://www.goodreads.com/search?q=contemporary-romance
296,contemporary-romance-clean,https://www.goodreads.com/search?q=contemporary-romance-clean
297,cookbooks,https://www.goodreads.com/search?q=cookbooks
298,cooking,https://www.goodreads.com/search?q=cooking
299,coptic-language,https://www.goodreads.com/search?q=coptic-language
300,coptology,https://www.goodreads.com/search?q=coptology
301,copts,https://www.goodreads.com/search?q=copts
302,costume-history,https://www.goodreads.com/search?q=costume-history
303,counselling,https://www.goodreads.com/search?q=counselling
304,counter-culture,https://www.goodreads.com/search?q=counter-culture
305,counting,https://www.goodreads.com/search?q=counting
306,couture,https://www.goodreads.com/search?q=couture
307,cozy-mystery,https://www.goodreads.com/search?q=cozy-mystery
308,crafts,https://www.goodreads.com/search?q=crafts
309,creation-science,https://www.goodreads.com/search?q=creation-science
310,crime,https://www.goodreads.com/search?q=crime
311,criticism,https://www.goodreads.com/search?q=criticism
312,crochet,https://www.goodreads.com/search?q=crochet
313,cross-dressing,https://www.goodreads.com/search?q=cross-dressing
314,cryonics,https://www.goodreads.com/search?q=cryonics
315,cryptids,https://www.goodreads.com/search?q=cryptids
316,cryptozoology,https://www.goodreads.com/search?q=cryptozoology
317,cthulhu-mythos,https://www.goodreads.com/search?q=cthulhu-mythos
318,cuisine,https://www.goodreads.com/search?q=cuisine
319,culinary,https://www.goodreads.com/search?q=culinary
320,cult-classics,https://www.goodreads.com/search?q=cult-classics
321,cults,https://www.goodreads.com/search?q=cults
322,cultural,https://www.goodreads.com/search?q=cultural
323,cultural-heritage,https://www.goodreads.com/search?q=cultural-heritage
324,cultural-studies,https://www.goodreads.com/search?q=cultural-studies
325,curation,https://www.goodreads.com/search?q=curation
326,currency,https://www.goodreads.com/search?q=currency
327,cw-bentonville,https://www.goodreads.com/search?q=cw-bentonville
328,cw-iuka-corinth,https://www.goodreads.com/search?q=cw-iuka-corinth
329,cw-stones-river,https://www.goodreads.com/search?q=cw-stones-river
330,cw-west-va,https://www.goodreads.com/search?q=cw-west-va
331,cyberpunk,https://www.goodreads.com/search?q=cyberpunk
332,cycling,https://www.goodreads.com/search?q=cycling
333,czech-literature,https://www.goodreads.com/search?q=czech-literature
334,dakar,https://www.goodreads.com/search?q=dakar
335,danish,https://www.goodreads.com/search?q=danish
336,dark,https://www.goodreads.com/search?q=dark
